id,pubDate,title,summary,vader_neg,vader_neu,vader_pos,vader_compound
6759ab6a-d85b-3b6c-b727-23d30d2c46e0,2026-04-24 03:25:00+00:00,India's Reliance seen posting quarterly profit fall on crude price surge,"April 24 (Reuters) - Billionaire Mukesh Ambani-led Reliance Industries is set to report a decline in March-quarter profit on Friday, as the Middle East war-driven spike in crude prices weighed on its",0.142,0.747,0.111,-0.3818
382279b2-d690-3a27-8eea-7a7095c142e0,2026-04-24 07:43:59+00:00,"Factbox-India's Asteria, the Reliance unit at the centre of a bribery scandal","A bribery investigation by India's federal crime-fighting agency has put a spotlight on drone technology company Asteria Aerospace, a little-known unit of billionaire Mukesh ‌Ambani's Reliance Industries.  The Central Bureau of Investigation arrested officials from India's aviation watchdog and Reliance ‌Industries earlier this week, alleging bribery payments to secure approvals for certain drone imports.  Reliance has previously said it did not authorise ​nor was aware of any such transactions, while the lawyer for the aviation watchdog's official has opposed his custody.",0.06,0.894,0.045,-0.3612
a249cab1-d761-3e74-8c08-17611c487834,2026-04-24 09:03:42+00:00,"Indian court extends detention of aviation official, Reliance exec in bribery case","By Abhijith Ganapavaram and Arpan Chaturvedi NEW DELHI, April 23 (Reuters) - An Indian court on Friday extended the pre-trial detention of an aviation regulator official and a Reliance Industries",0.11,0.857,0.033,-0.5423
9fc21d03-1712-3b81-8966-2165af85974f,2026-04-24 14:05:41+00:00,"Ambani's Reliance posts quarterly profit drop, misses street view","April 24 (Reuters) - Billionaire Mukesh Ambani's Reliance Industries posted a 12% slump in net profit for the fourth quarter, missing market expectations, as higher input costs weighed on key",0.135,0.739,0.126,0.1531
b11367d2-2e84-3e22-89d0-42d1ebe7ade0,2026-04-27 01:00:22+00:00,Reliance Industries Ltd (WBO:RLI) Q4 2026 Earnings Call Highlights: Strong Digital Growth Amid ...,"Reliance Industries Ltd (WBO:RLI) reports robust revenue growth driven by digital services and retail, while navigating currency depreciation and supply chain disruptions.",0.054,0.7,0.246,0.8176
f91e49fe-1750-3bab-93e9-1a4efd16fa6f,2026-04-27 04:02:50+00:00,"Indian shares snap losing streak; Reliance, Axis Bank cap gains","April 27 (Reuters) - Indian shares opened higher on Monday, snapping a recent losing streak, although lacklustre quarterly earnings from conglomerate Reliance and Axis Bank and firmer crude prices",0.183,0.678,0.14,-0.4767
a2bf4df0-13b1-319c-b37d-29227b7bf9c2,2026-04-28 10:51:00+00:00,Reliance and Meta's joint venture signals India's shift from AI ambition to enterprise deployment,"The decision by Reliance Industries and Meta Platforms Inc (NASDAQ:META, XETRA:FB2A, SIX:FB)to appoint a founding chief executive at their joint venture, Reliance Enterprise Intelligence Limited, sets the tone for the whole collaboration. And the choice of candidate suggests the two companies...",0.033,0.914,0.053,0.296
bdbc384d-c8db-3f2e-af92-b596594c9ca3,2026-05-04 14:54:26+00:00,"India's Reliance cuts exports of alkylates, boosts LPG output","By Nidhi Verma and Mohi Narayan NEW DELHI, May 4 (Reuters) - India's Reliance Industries is cutting output of alkylates and diverting feedstock to ramp up production of liquefied petroleum gas (LPG)",0.084,0.864,0.052,-0.1027
858c2a19-a844-30e4-96ec-b753e20ff475,2026-05-05 07:00:41+00:00,"India's Reliance hands over documents in bribery probe, executive gets bail","By Abhijith Ganapavaram NEW DELHI, May 5 (Reuters) - India's biggest listed company, Reliance Industries, has handed over documents demanded by federal police investigating a drone import bribery case",0.046,0.954,0.0,-0.2263
31f586ed-829e-3ef6-88b8-69e54e339c2c,2026-05-05 20:09:49+00:00,How The Evolving Story For Reliance Industries (NSEI:RELIANCE) Is Shaping Its Valuation Reset,"Reliance Industries has seen its fair value estimate revised to ₹1,696.63 from ₹1,732.03, a small shift that still matters if you are tracking valuation signals closely. This change sits within a broader pattern highlighted in recent research on large caps, where some analysts are pushing targets higher while others are trimming them, depending on how they view growth visibility and execution risk. As you read on, you will see how to interpret these moves and keep up with the evolving...",0.021,0.893,0.085,0.6486
