ticker,order,metric,full_test,regime_calm,regime_turbulent
NSEI,20→64→32→16→1,rmse,0.00897058967397658,0.00897058967397658,
NSEI,20→64→32→16→1,mae,0.00635351116429968,0.00635351116429968,
NSEI,20→64→32→16→1,mape,7133099166.844458,7133099166.844458,
NSEI,20→64→32→16→1,da,0.5124555160142349,0.5124555160142349,
SENSEX,20→64→32→16→1,rmse,0.008714485282522123,0.008714485282522123,
SENSEX,20→64→32→16→1,mae,0.00617910290384542,0.00617910290384542,
SENSEX,20→64→32→16→1,mape,21521267921.70585,21521267921.70585,
SENSEX,20→64→32→16→1,da,0.505338078291815,0.505338078291815,
TCS,20→64→32→16→1,rmse,0.01366293666590992,0.01366293666590992,
TCS,20→64→32→16→1,mae,0.009803592166215463,0.009803592166215463,
TCS,20→64→32→16→1,mape,20419211279.774315,20419211279.774315,
TCS,20→64→32→16→1,da,0.5231316725978647,0.5231316725978647,
HDFCBANK,20→64→32→16→1,rmse,0.01302040434568636,0.01302040434568636,
HDFCBANK,20→64→32→16→1,mae,0.009149094713192259,0.009149094713192259,
HDFCBANK,20→64→32→16→1,mape,20258083444.08108,20258083444.08108,
HDFCBANK,20→64→32→16→1,da,0.505338078291815,0.505338078291815,
RELIANCE,20→64→32→16→1,rmse,0.013808618243634075,0.013808618243634075,
RELIANCE,20→64→32→16→1,mae,0.00995040547189415,0.00995040547189415,
RELIANCE,20→64→32→16→1,mape,25700084201.4336,25700084201.4336,
RELIANCE,20→64→32→16→1,da,0.4875444839857651,0.4875444839857651,
ITC,20→64→32→16→1,rmse,0.0121205657358655,0.0121205657358655,
ITC,20→64→32→16→1,mae,0.008574347763788924,0.008574347763788924,
ITC,20→64→32→16→1,mape,26170678276.804203,26170678276.804203,
ITC,20→64→32→16→1,da,0.4501779359430605,0.4501779359430605,
MARUTI,20→64→32→16→1,rmse,0.014483849749785041,0.014483849749785041,
MARUTI,20→64→32→16→1,mae,0.010431644086523494,0.010431644086523494,
MARUTI,20→64→32→16→1,mape,12258769079.449759,12258769079.449759,
MARUTI,20→64→32→16→1,da,0.501779359430605,0.501779359430605,
