date,signal,executed,price,shares,cash,portfolio_value
2024-01-01,HOLD,False,1290.2750244140625,0.0,100000.0,100000.0
2024-01-02,HOLD,False,1292.5,0.0,100000.0,100000.0
2024-01-03,HOLD,False,1305.0,0.0,100000.0,100000.0
2024-01-04,HOLD,False,1294.0,0.0,100000.0,100000.0
2024-01-05,HOLD,False,1301.449951171875,0.0,100000.0,100000.0
2024-01-08,HOLD,False,1305.0,0.0,100000.0,100000.0
2024-01-09,HOLD,False,1300.0,0.0,100000.0,100000.0
2024-01-10,HOLD,False,1288.5,0.0,100000.0,100000.0
2024-01-11,HOLD,False,1329.5,0.0,100000.0,100000.0
2024-01-12,HOLD,False,1359.9000244140625,0.0,100000.0,100000.0
2024-01-15,HOLD,False,1375.0,0.0,100000.0,100000.0
2024-01-16,HOLD,False,1389.9749755859375,0.0,100000.0,100000.0
2024-01-17,HOLD,False,1359.5,0.0,100000.0,100000.0
2024-01-18,HOLD,False,1351.4000244140625,0.0,100000.0,100000.0
2024-01-19,HOLD,False,1376.0,0.0,100000.0,100000.0
2024-01-23,HOLD,False,1371.75,0.0,100000.0,100000.0
2024-01-24,HOLD,False,1335.2249755859375,0.0,100000.0,100000.0
2024-01-25,HOLD,False,1342.949951171875,0.0,100000.0,100000.0
2024-01-29,HOLD,False,1364.5,0.0,100000.0,100000.0
2024-01-30,HOLD,False,1459.949951171875,0.0,100000.0,100000.0
2024-01-31,HOLD,False,1404.0,0.0,100000.0,100000.0
2024-02-01,HOLD,False,1435.0,0.0,100000.0,100000.0
2024-02-02,HOLD,False,1433.175048828125,0.0,100000.0,100000.0
2024-02-05,HOLD,False,1460.75,0.0,100000.0,100000.0
2024-02-06,HOLD,False,1441.8499755859375,0.0,100000.0,100000.0
2024-02-07,HOLD,False,1435.925048828125,0.0,100000.0,100000.0
2024-02-08,HOLD,False,1450.0,0.0,100000.0,100000.0
2024-02-09,HOLD,False,1454.0,0.0,100000.0,100000.0
2024-02-12,HOLD,False,1460.75,0.0,100000.0,100000.0
2024-02-13,HOLD,False,1455.5,0.0,100000.0,100000.0
2024-02-14,HOLD,False,1457.5,0.0,100000.0,100000.0
2024-02-15,HOLD,False,1483.3499755859375,0.0,100000.0,100000.0
2024-02-16,HOLD,False,1476.4749755859375,0.0,100000.0,100000.0
2024-02-19,HOLD,False,1462.050048828125,0.0,100000.0,100000.0
2024-02-20,HOLD,False,1475.0250244140625,0.0,100000.0,100000.0
2024-02-21,HOLD,False,1474.0,0.0,100000.0,100000.0
2024-02-22,HOLD,False,1468.1500244140625,0.0,100000.0,100000.0
2024-02-23,HOLD,False,1489.5,0.0,100000.0,100000.0
2024-02-26,HOLD,False,1493.550048828125,0.0,100000.0,100000.0
2024-02-27,HOLD,False,1483.0250244140625,0.0,100000.0,100000.0
2024-02-28,HOLD,False,1483.0,0.0,100000.0,100000.0
2024-02-29,HOLD,False,1465.0,0.0,100000.0,100000.0
2024-03-01,HOLD,False,1463.5,0.0,100000.0,100000.0
2024-03-04,HOLD,False,1490.4749755859375,0.0,100000.0,100000.0
2024-03-05,HOLD,False,1505.7750244140625,0.0,100000.0,100000.0
2024-03-06,HOLD,False,1493.449951171875,0.0,100000.0,100000.0
2024-03-07,HOLD,False,1502.9749755859375,0.0,100000.0,100000.0
2024-03-11,HOLD,False,1489.0,0.0,100000.0,100000.0
2024-03-12,HOLD,False,1466.5999755859375,0.0,100000.0,100000.0
2024-03-13,HOLD,False,1479.7750244140625,0.0,100000.0,100000.0
2024-03-14,HOLD,False,1439.699951171875,0.0,100000.0,100000.0
2024-03-15,HOLD,False,1425.949951171875,0.0,100000.0,100000.0
2024-03-18,HOLD,False,1420.0,0.0,100000.0,100000.0
2024-03-19,HOLD,False,1428.75,0.0,100000.0,100000.0
2024-03-20,HOLD,False,1427.949951171875,0.0,100000.0,100000.0
2024-03-21,HOLD,False,1452.5250244140625,0.0,100000.0,100000.0
2024-03-22,HOLD,False,1449.9749755859375,0.0,100000.0,100000.0
2024-03-26,HOLD,False,1445.0,0.0,100000.0,100000.0
2024-03-27,HOLD,False,1448.0,0.0,100000.0,100000.0
2024-03-28,HOLD,False,1492.875,0.0,100000.0,100000.0
2024-04-01,HOLD,False,1492.4749755859375,0.0,100000.0,100000.0
2024-04-02,HOLD,False,1484.0,0.0,100000.0,100000.0
2024-04-03,HOLD,False,1482.074951171875,0.0,100000.0,100000.0
2024-04-04,HOLD,False,1479.75,0.0,100000.0,100000.0
2024-04-05,HOLD,False,1460.875,0.0,100000.0,100000.0
2024-04-08,HOLD,False,1462.9749755859375,0.0,100000.0,100000.0
2024-04-09,HOLD,False,1489.0,0.0,100000.0,100000.0
2024-04-10,HOLD,False,1466.3499755859375,0.0,100000.0,100000.0
2024-04-12,HOLD,False,1475.875,0.0,100000.0,100000.0
2024-04-15,HOLD,False,1461.0,0.0,100000.0,100000.0
2024-04-16,HOLD,False,1453.3499755859375,0.0,100000.0,100000.0
2024-04-18,HOLD,False,1463.5,0.0,100000.0,100000.0
2024-04-19,HOLD,False,1456.7750244140625,0.0,100000.0,100000.0
2024-04-22,HOLD,False,1472.449951171875,0.0,100000.0,100000.0
2024-04-23,HOLD,False,1479.0,0.0,100000.0,100000.0
2024-04-24,HOLD,False,1463.5,0.0,100000.0,100000.0
2024-04-25,HOLD,False,1442.5,0.0,100000.0,100000.0
2024-04-26,HOLD,False,1463.949951171875,0.0,100000.0,100000.0
2024-04-29,HOLD,False,1450.0,0.0,100000.0,100000.0
2024-04-30,HOLD,False,1468.0,0.0,100000.0,100000.0
2024-05-02,HOLD,False,1472.0,0.0,100000.0,100000.0
2024-05-03,HOLD,False,1471.0,0.0,100000.0,100000.0
2024-05-06,HOLD,False,1435.5,0.0,100000.0,100000.0
2024-05-07,HOLD,False,1415.9749755859375,0.0,100000.0,100000.0
2024-05-08,HOLD,False,1397.5,0.0,100000.0,100000.0
2024-05-09,HOLD,False,1413.0,0.0,100000.0,100000.0
2024-05-10,HOLD,False,1396.75,0.0,100000.0,100000.0
2024-05-13,HOLD,False,1399.9000244140625,0.0,100000.0,100000.0
2024-05-14,HOLD,False,1400.9749755859375,0.0,100000.0,100000.0
2024-05-15,HOLD,False,1420.5,0.0,100000.0,100000.0
